sector,epsilon
01T02,4.95307683944702
03,2.57988142967224
05T06,1.78139781951904
07T08,3.28858542442322
10T12,4.05073595046997
13T15,5.1681022644043
16,5.01612758636475
17T18,4.53570032119751
19,3.6091542058322026
20,3.76631426811218
21,4.10104084014893
22,4.17154216766357
23,3.68244671821594
24,5.85668802261353
25,4.87286281585693
26,2.18820095062256
27,3.23762726783752
28,2.91032958030701
29T30,3.49305147391099
31T33,4.89670324325562
35,3.77833557128906
36T39,1.91039788722992
41T43,3.49305147391099
45T47,3.49305147391099
49,3.49305147391099
50,3.49305147391099
51,3.49305147391099
52,3.49305147391099
53,3.49305147391099
55T56,3.49305147391099
58T60,4.03092002868652
61,3.49305147391099
62T63,3.49305147391099
64T66,3.49305147391099
68,3.49305147391099
69T75,3.76050519943237
77T82,2.4613344669342
84,3.49305147391099
85,2.79508781433105
86T88,3.49305147391099
90T93,2.29255437850952
94T98,3.49305147391099
